id,sector,year
652,Vegetables_foodstuff_and_wood,2016
652,Vegetables_foodstuff_and_wood,2015
652,Vegetables_foodstuff_and_wood,2014
652,Vegetables_foodstuff_and_wood,2013
652,Vegetables_foodstuff_and_wood,2012
652,Vegetables_foodstuff_and_wood,2011
652,Vegetables_foodstuff_and_wood,2010
652,Vegetables_foodstuff_and_wood,2009
652,Vegetables_foodstuff_and_wood,2008
652,Vegetables_foodstuff_and_wood,2007
652,Vegetables_foodstuff_and_wood,2006
652,Vegetables_foodstuff_and_wood,2005
652,Vegetables_foodstuff_and_wood,2004
652,Vegetables_foodstuff_and_wood,2003
652,Vegetables_foodstuff_and_wood,2002
652,Vegetables_foodstuff_and_wood,2001
652,Vegetables_foodstuff_and_wood,2000
652,Vegetables_foodstuff_and_wood,1999
652,Vegetables_foodstuff_and_wood,1998
652,Vegetables_foodstuff_and_wood,1997
655,Vegetables_foodstuff_and_wood,2006
655,Vegetables_foodstuff_and_wood,2005
655,Vegetables_foodstuff_and_wood,2004
655,Vegetables_foodstuff_and_wood,2003
655,Vegetables_foodstuff_and_wood,2002
655,Vegetables_foodstuff_and_wood,2001
655,Vegetables_foodstuff_and_wood,2000
655,Vegetables_foodstuff_and_wood,1999
655,Vegetables_foodstuff_and_wood,1998
655,Vegetables_foodstuff_and_wood,1997
655,Vegetables_foodstuff_and_wood,1996
655,Vegetables_foodstuff_and_wood,1995
663,Vegetables_foodstuff_and_wood,2016
663,Vegetables_foodstuff_and_wood,2015
663,Vegetables_foodstuff_and_wood,2014
663,Vegetables_foodstuff_and_wood,2013
663,Vegetables_foodstuff_and_wood,2012
663,Vegetables_foodstuff_and_wood,2011
663,Vegetables_foodstuff_and_wood,2010
663,Vegetables_foodstuff_and_wood,2009
663,Vegetables_foodstuff_and_wood,2008
663,Vegetables_foodstuff_and_wood,2007
663,Vegetables_foodstuff_and_wood,2006
663,Vegetables_foodstuff_and_wood,2005
663,Vegetables_foodstuff_and_wood,2004
663,Vegetables_foodstuff_and_wood,2003
663,Vegetables_foodstuff_and_wood,2002
663,Vegetables_foodstuff_and_wood,2001
663,Vegetables_foodstuff_and_wood,2000
663,Vegetables_foodstuff_and_wood,1999
663,Vegetables_foodstuff_and_wood,1998
663,Vegetables_foodstuff_and_wood,1997
663,Vegetables_foodstuff_and_wood,1996
663,Vegetables_foodstuff_and_wood,1995
666,Vegetables_foodstuff_and_wood,2016
666,Vegetables_foodstuff_and_wood,2015
666,Vegetables_foodstuff_and_wood,2014
666,Vegetables_foodstuff_and_wood,2013
666,Vegetables_foodstuff_and_wood,2012
666,Vegetables_foodstuff_and_wood,2011
666,Vegetables_foodstuff_and_wood,2010
666,Vegetables_foodstuff_and_wood,2009
666,Vegetables_foodstuff_and_wood,2008
666,Vegetables_foodstuff_and_wood,2007
666,Vegetables_foodstuff_and_wood,2006
666,Vegetables_foodstuff_and_wood,2005
666,Vegetables_foodstuff_and_wood,2004
666,Vegetables_foodstuff_and_wood,2003
666,Vegetables_foodstuff_and_wood,2002
666,Vegetables_foodstuff_and_wood,2001
666,Vegetables_foodstuff_and_wood,2000
666,Vegetables_foodstuff_and_wood,1999
666,Vegetables_foodstuff_and_wood,1998
666,Vegetables_foodstuff_and_wood,1997
666,Vegetables_foodstuff_and_wood,1996
666,Vegetables_foodstuff_and_wood,1995
667,Vegetables_foodstuff_and_wood,2015
667,Vegetables_foodstuff_and_wood,2014
667,Vegetables_foodstuff_and_wood,2013
667,Vegetables_foodstuff_and_wood,2012
667,Vegetables_foodstuff_and_wood,2011
667,Vegetables_foodstuff_and_wood,2010
667,Vegetables_foodstuff_and_wood,2009
667,Vegetables_foodstuff_and_wood,2008
667,Vegetables_foodstuff_and_wood,2007
667,Vegetables_foodstuff_and_wood,2006
667,Vegetables_foodstuff_and_wood,2005
667,Vegetables_foodstuff_and_wood,2004
667,Vegetables_foodstuff_and_wood,2003
667,Vegetables_foodstuff_and_wood,2002
667,Vegetables_foodstuff_and_wood,2001
667,Vegetables_foodstuff_and_wood,2000
667,Vegetables_foodstuff_and_wood,1999
667,Vegetables_foodstuff_and_wood,1998
667,Vegetables_foodstuff_and_wood,1997
667,Vegetables_foodstuff_and_wood,1996
667,Vegetables_foodstuff_and_wood,1995
668,Vegetables_foodstuff_and_wood,2016
668,Vegetables_foodstuff_and_wood,2015
668,Vegetables_foodstuff_and_wood,2014
668,Vegetables_foodstuff_and_wood,2013
668,Vegetables_foodstuff_and_wood,2012
668,Vegetables_foodstuff_and_wood,2011
668,Vegetables_foodstuff_and_wood,2010
668,Vegetables_foodstuff_and_wood,2009
